iter	Passed	Remaining
0	12	6038
1	22	5622
2	33	5451
3	43	5330
4	51	5027
5	59	4833
6	69	4856
7	78	4809
8	86	4653
9	93	4549
10	101	4482
11	109	4406
12	115	4309
13	126	4349
14	138	4432
15	148	4451
16	157	4435
17	168	4479
18	177	4460
19	195	4655
20	203	4594
21	210	4535
22	219	4504
23	226	4454
24	236	4448
25	244	4422
26	253	4404
27	260	4348
28	268	4318
29	280	4359
30	290	4351
31	299	4341
32	308	4325
33	316	4306
34	324	4280
35	334	4273
36	342	4242
37	365	4404
38	373	4374
39	383	4366
40	391	4345
41	402	4353
42	410	4328
43	419	4308
44	426	4271
45	432	4232
46	441	4221
47	449	4194
48	459	4189
49	465	4153
50	472	4121
51	480	4099
52	488	4080
53	495	4055
54	503	4040
55	515	4047
56	524	4038
57	532	4022
58	543	4027
59	551	4007
60	563	4017
61	570	3992
62	579	3982
63	586	3961
64	594	3940
65	608	3961
66	615	3940
67	625	3936
68	633	3920
69	641	3901
70	650	3892
71	659	3884
72	671	3889
73	678	3871
74	685	3850
75	693	3833
76	701	3816
77	709	3803
78	717	3788
79	729	3792
80	736	3774
81	745	3761
82	752	3743
83	759	3726
84	768	3714
85	776	3700
86	783	3683
87	790	3663
88	797	3645
89	805	3632
90	813	3620
91	820	3603
92	827	3584
93	833	3565
94	840	3549
95	847	3531
96	855	3519
97	862	3504
98	868	3484
99	875	3467
100	882	3449
101	888	3430
102	896	3421
103	904	3407
104	912	3399
105	920	3387
106	931	3387
107	942	3384
108	949	3370
109	957	3358
110	966	3352
111	975	3345
112	1007	3414
113	1026	3438
114	1041	3450
115	1060	3473
116	1073	3476
117	1095	3507
118	1112	3524
119	1125	3526
120	1132	3511
121	1140	3494
122	1152	3494
123	1169	3509
124	1179	3499
125	1185	3481
126	1196	3476
127	1205	3466
128	1212	3449
129	1220	3437
130	1231	3430
131	1240	3420
132	1246	3402
133	1253	3387
134	1260	3370
135	1268	3357
136	1278	3350
137	1287	3338
138	1293	3322
139	1299	3304
140	1307	3291
141	1314	3277
142	1323	3266
143	1336	3267
144	1343	3251
145	1352	3241
146	1358	3225
147	1365	3211
148	1373	3198
149	1381	3187
150	1388	3173
151	1396	3159
152	1407	3156
153	1415	3143
154	1421	3128
155	1430	3118
156	1438	3106
157	1444	3090
158	1451	3076
159	1458	3061
160	1464	3046
161	1473	3038
162	1481	3027
163	1487	3011
164	1495	2999
165	1503	2988
166	1513	2982
167	1521	2970
168	1529	2958
169	1537	2947
170	1543	2934
171	1551	2922
172	1558	2909
173	1564	2895
174	1571	2883
175	1579	2871
176	1588	2862
177	1595	2851
178	1607	2846
179	1614	2834
180	1624	2826
181	1630	2812
182	1636	2799
183	1644	2788
184	1652	2778
185	1658	2764
186	1667	2754
187	1675	2744
188	1683	2734
189	1691	2723
190	1700	2715
191	1709	2706
192	1717	2696
193	1725	2686
194	1733	2676
195	1740	2664
196	1747	2652
197	1753	2639
198	1759	2625
199	1765	2613
200	1772	2600
201	1778	2588
202	1787	2580
203	1795	2570
204	1802	2559
205	1810	2549
206	1817	2537
207	1826	2529
208	1837	2523
209	1848	2517
210	1853	2504
211	1863	2496
212	1872	2487
213	1879	2477
214	1887	2466
215	1895	2457
216	1904	2448
217	1909	2435
218	1917	2424
219	1925	2415
220	1933	2405
221	1940	2394
222	1947	2384
223	1955	2374
224	1961	2362
225	1968	2351
226	1976	2341
227	1985	2333
228	1994	2325
229	2002	2315
230	2009	2304
231	2016	2294
232	2024	2284
233	2031	2274
234	2041	2266
235	2050	2259
236	2057	2248
237	2064	2237
238	2071	2227
239	2080	2219
240	2087	2208
241	2093	2197
242	2102	2189
243	2111	2180
244	2119	2171
245	2125	2160
246	2132	2150
247	2139	2139
248	2147	2130
249	2157	2122
250	2163	2111
251	2170	2101
252	2177	2091
253	2185	2082
254	2191	2071
255	2197	2059
256	2204	2049
257	2212	2041
258	2221	2033
259	2229	2023
260	2242	2018
261	2250	2009
262	2262	2004
263	2272	1996
264	2282	1989
265	2291	1981
266	2301	1973
267	2310	1965
268	2319	1957
269	2328	1948
270	2338	1941
271	2348	1933
272	2356	1924
273	2366	1917
274	2376	1909
275	2386	1902
276	2393	1892
277	2403	1884
278	2412	1876
279	2422	1868
280	2432	1861
281	2446	1856
282	2454	1847
283	2460	1836
284	2468	1827
285	2478	1820
286	2486	1810
287	2492	1800
288	2500	1791
289	2507	1781
290	2516	1772
291	2523	1763
292	2532	1754
293	2541	1745
294	2548	1736
295	2555	1726
296	2564	1718
297	2570	1708
298	2577	1698
299	2583	1687
300	2591	1678
301	2599	1669
302	2606	1660
303	2614	1651
304	2621	1641
305	2629	1632
306	2637	1623
307	2643	1613
308	2652	1605
309	2658	1594
310	2665	1585
311	2671	1575
312	2678	1565
313	2686	1557
314	2693	1547
315	2700	1538
316	2708	1529
317	2716	1520
318	2727	1513
319	2733	1503
320	2740	1493
321	2747	1484
322	2755	1475
323	2761	1465
324	2769	1457
325	2777	1448
326	2786	1440
327	2793	1430
328	2801	1422
329	2809	1413
330	2816	1403
331	2824	1395
332	2834	1387
333	2842	1378
334	2850	1370
335	2859	1361
336	2867	1352
337	2873	1343
338	2880	1334
339	2888	1325
340	2896	1316
341	2906	1308
342	2914	1299
343	2920	1290
344	2929	1282
345	2936	1273
346	2944	1264
347	2952	1255
348	2958	1246
349	2965	1236
350	2972	1227
351	2979	1218
352	2986	1209
353	2995	1201
354	3001	1192
355	3007	1182
356	3014	1173
357	3020	1164
358	3027	1155
359	3036	1147
360	3043	1138
361	3052	1129
362	3058	1120
363	3065	1111
364	3072	1102
365	3078	1093
366	3087	1085
367	3094	1076
368	3103	1068
369	3110	1059
370	3117	1050
371	3124	1041
372	3133	1033
373	3140	1024
374	3146	1015
375	3154	1006
376	3163	998
377	3171	989
378	3178	981
379	3186	972
380	3195	964
381	3202	955
382	3210	947
383	3222	939
384	3228	930
385	3235	921
386	3242	913
387	3250	904
388	3259	896
389	3267	888
390	3278	880
391	3286	871
392	3293	863
393	3300	854
394	3308	846
395	3315	837
396	3325	829
397	3334	820
398	3340	812
399	3349	803
400	3357	795
401	3365	786
402	3373	778
403	3381	770
404	3388	761
405	3396	752
406	3403	744
407	3409	735
408	3415	726
409	3421	717
410	3432	709
411	3440	701
412	3448	693
413	3457	684
414	3464	676
415	3475	668
416	3482	659
417	3492	651
418	3498	642
419	3505	634
420	3511	625
421	3521	617
422	3530	609
423	3536	600
424	3542	591
425	3552	583
426	3559	575
427	3570	567
428	3578	558
429	3584	550
430	3590	541
431	3598	533
432	3607	524
433	3612	516
434	3619	507
435	3630	499
436	3640	491
437	3647	483
438	3657	474
439	3663	466
440	3675	458
441	3681	449
442	3691	441
443	3698	433
444	3705	424
445	3712	416
446	3719	407
447	3726	399
448	3733	390
449	3739	382
450	3746	373
451	3755	365
452	3763	357
453	3768	348
454	3776	340
455	3783	331
456	3791	323
457	3797	315
458	3804	306
459	3810	298
460	3818	289
461	3826	281
462	3834	273
463	3842	264
464	3852	256
465	3859	248
466	3866	240
467	3874	231
468	3881	223
469	3889	215
470	3896	206
471	3908	198
472	3916	190
473	3923	182
474	3932	173
475	3939	165
476	3946	157
477	3956	149
478	3966	140
479	3973	132
480	3980	124
481	3988	115
482	3995	107
483	4005	99
484	4013	91
485	4021	82
486	4028	74
487	4034	66
488	4044	57
489	4050	49
490	4061	41
491	4067	33
492	4073	24
493	4080	16
494	4090	8
495	4096	0
