iter	MultiClass
0	1.591931009
1	1.575483761
2	1.561506446
3	1.548031673
4	1.535527209
5	1.523922187
6	1.513142449
7	1.504236668
8	1.494165806
9	1.485750472
10	1.475923978
11	1.467834168
12	1.460043254
13	1.452423714
14	1.446120928
15	1.440348348
16	1.434162896
17	1.428481604
18	1.422234604
19	1.416819996
20	1.411209133
21	1.405590564
22	1.401130344
23	1.397156173
24	1.393492596
25	1.389795338
26	1.386456093
27	1.383313912
28	1.379672209
29	1.376075409
30	1.37303504
31	1.36977029
32	1.367120505
33	1.364226808
34	1.36182362
35	1.359502808
36	1.357263884
37	1.355291901
38	1.353352634
39	1.350983736
40	1.348973336
41	1.34713849
42	1.344904293
43	1.342824986
44	1.34078352
45	1.338688028
46	1.336935086
47	1.33543962
48	1.33370837
49	1.332012595
50	1.330814895
51	1.329700865
52	1.328380617
53	1.326901654
54	1.325733764
55	1.32462597
56	1.32338547
57	1.321864891
58	1.320575486
59	1.318915883
60	1.317273428
61	1.31618163
62	1.31485947
63	1.313615994
64	1.31264575
65	1.311475256
66	1.310196647
67	1.309227253
68	1.308276952
69	1.306703015
70	1.305468368
71	1.304136027
72	1.303550259
73	1.302458027
74	1.301224403
75	1.300211518
76	1.299272099
77	1.298133631
78	1.297491209
79	1.296530764
80	1.295565458
81	1.294857697
82	1.294232957
83	1.29340187
84	1.29241232
85	1.29143651
86	1.290552137
87	1.289618691
88	1.288880089
89	1.288024875
90	1.287253079
91	1.286125218
92	1.285620099
93	1.284558198
94	1.283684282
95	1.282594493
96	1.281692414
97	1.28096626
98	1.280294695
99	1.279710291
100	1.278924211
101	1.278256454
102	1.277805774
103	1.277157849
104	1.27655687
105	1.276054185
106	1.275257931
107	1.274957244
108	1.274190523
109	1.273531944
110	1.273077281
111	1.272347575
112	1.27179746
113	1.271139115
114	1.269988284
115	1.269468143
116	1.268877947
117	1.268010867
118	1.266957725
119	1.266493966
120	1.265628094
121	1.264797025
122	1.263953862
123	1.262814739
124	1.262397942
125	1.261654611
126	1.260998088
127	1.260121414
128	1.2591835
129	1.258668087
130	1.257592705
131	1.256874016
132	1.256424675
133	1.255891274
134	1.255509931
135	1.25511146
136	1.254477206
137	1.253827751
138	1.253223522
139	1.252824509
140	1.251851049
141	1.25123569
142	1.250765507
143	1.250236296
144	1.249613377
145	1.249282501
146	1.248674397
147	1.248051736
148	1.247430962
149	1.247185552
150	1.246737383
151	1.24599227
152	1.245438178
153	1.244752617
154	1.244263872
155	1.243854477
156	1.24326577
157	1.242566529
158	1.241650634
159	1.24092282
160	1.240003429
161	1.239526952
162	1.238773142
163	1.238156224
164	1.237759292
165	1.237163625
166	1.236563981
167	1.235768189
168	1.235464354
169	1.234825439
170	1.233803385
171	1.23341782
172	1.233131011
173	1.232434703
174	1.232000013
175	1.231208284
176	1.230793242
177	1.230124615
178	1.22923852
179	1.228645064
180	1.228213889
181	1.227739191
182	1.227151099
183	1.226771356
184	1.226309033
185	1.225660712
186	1.224851606
187	1.22442894
188	1.223808341
189	1.223071326
190	1.222601576
191	1.221958719
192	1.22112844
193	1.22038616
194	1.219577781
195	1.218783308
196	1.218329955
197	1.217568698
198	1.216865712
199	1.216237078
200	1.215442264
201	1.215027226
202	1.214287165
203	1.213432497
204	1.212931654
205	1.212638024
206	1.211604001
207	1.210342515
208	1.209702132
209	1.20913827
210	1.208123243
211	1.207607817
