iter	Passed	Remaining
0	5	2403
1	9	2181
2	14	2099
3	18	2088
4	24	2114
5	29	2140
6	34	2157
7	37	2036
8	42	2064
9	48	2095
10	53	2124
11	59	2132
12	64	2146
13	70	2158
14	75	2171
15	81	2171
16	86	2184
17	92	2182
18	98	2192
19	103	2187
20	108	2189
21	113	2183
22	119	2183
23	124	2178
24	129	2172
25	134	2166
26	139	2161
27	144	2151
28	150	2150
29	156	2153
30	161	2149
31	166	2142
32	171	2140
33	176	2133
34	182	2131
35	187	2125
36	192	2120
37	197	2114
38	203	2113
39	208	2110
40	215	2114
41	220	2112
42	226	2109
43	231	2105
44	236	2099
45	242	2096
46	247	2090
47	252	2082
48	257	2077
49	263	2073
50	268	2068
51	273	2061
52	278	2055
53	284	2051
54	289	2046
55	294	2039
56	299	2033
57	304	2028
58	309	2022
59	315	2021
60	321	2017
61	326	2011
62	331	2005
63	336	1999
64	341	1992
65	347	1989
66	352	1985
67	357	1977
68	363	1972
69	368	1969
70	373	1964
71	379	1960
72	384	1954
73	390	1950
74	395	1948
75	401	1943
76	407	1940
77	412	1935
78	417	1929
79	422	1924
80	428	1918
81	433	1912
82	438	1905
83	443	1899
84	448	1893
85	453	1887
86	458	1882
87	464	1877
88	469	1871
89	474	1865
90	479	1860
91	484	1854
92	489	1848
93	495	1844
94	500	1838
95	505	1832
96	510	1827
97	516	1822
98	521	1816
99	526	1810
100	531	1805
101	536	1799
102	541	1793
103	546	1787
104	551	1781
105	556	1775
106	562	1771
107	567	1764
108	572	1760
109	577	1754
110	582	1748
111	588	1743
112	593	1738
113	598	1732
114	603	1727
115	609	1722
116	614	1717
117	619	1712
118	625	1707
119	630	1701
120	635	1695
121	640	1690
122	645	1685
123	651	1680
124	656	1674
125	661	1668
126	666	1664
127	671	1658
128	677	1653
129	682	1647
130	687	1642
131	692	1636
132	697	1630
133	702	1625
134	707	1619
135	712	1613
136	717	1608
137	723	1603
138	728	1599
139	734	1594
140	739	1590
141	745	1584
142	750	1579
143	755	1573
144	760	1568
145	765	1562
146	770	1556
147	775	1551
148	780	1545
149	785	1539
150	790	1534
151	795	1528
152	800	1523
153	805	1517
154	811	1512
155	816	1506
156	821	1501
157	826	1495
158	831	1490
159	836	1485
160	842	1480
161	847	1474
162	852	1469
163	857	1464
164	862	1458
165	868	1453
166	873	1448
167	878	1443
168	883	1437
169	888	1432
170	894	1427
171	899	1421
172	904	1416
173	909	1410
174	914	1405
175	919	1400
176	924	1394
177	929	1389
178	934	1383
179	939	1378
180	944	1373
181	950	1367
182	955	1362
183	960	1356
184	965	1351
185	970	1346
186	975	1341
187	980	1335
188	986	1330
189	991	1325
190	997	1320
191	1002	1315
192	1008	1311
193	1013	1306
194	1019	1301
195	1024	1295
196	1029	1290
197	1034	1285
198	1039	1280
199	1044	1274
200	1050	1270
201	1055	1264
202	1060	1259
203	1066	1254
204	1071	1248
205	1076	1243
206	1081	1238
207	1086	1233
208	1092	1227
209	1097	1222
210	1102	1217
211	1107	1211
212	1112	1206
213	1117	1200
214	1122	1195
215	1127	1190
216	1133	1185
217	1138	1180
218	1143	1175
219	1148	1169
220	1153	1164
221	1158	1158
222	1163	1153
223	1168	1147
224	1173	1142
225	1178	1137
226	1184	1132
227	1189	1126
228	1194	1121
229	1199	1116
230	1205	1111
231	1210	1105
232	1215	1100
233	1220	1095
234	1225	1089
235	1230	1084
236	1235	1079
237	1240	1074
238	1246	1068
239	1251	1063
240	1256	1058
241	1262	1053
242	1267	1048
243	1272	1042
244	1277	1037
245	1282	1032
246	1287	1026
247	1292	1021
248	1297	1016
249	1303	1011
250	1308	1005
251	1313	1000
252	1318	995
253	1323	990
254	1328	984
255	1334	979
256	1338	974
257	1344	969
258	1349	963
259	1354	958
260	1359	953
261	1364	947
262	1369	942
263	1374	937
264	1379	932
265	1385	927
266	1391	922
267	1396	916
268	1401	911
269	1406	906
270	1412	901
271	1417	896
272	1422	890
273	1427	885
274	1432	880
275	1437	875
276	1442	869
277	1448	864
278	1452	859
279	1457	853
280	1463	848
281	1468	843
282	1473	838
283	1478	832
284	1483	827
285	1488	822
286	1493	817
287	1498	811
288	1503	806
289	1509	801
290	1514	796
291	1520	791
292	1525	786
293	1530	780
294	1535	775
295	1540	770
296	1545	765
297	1551	759
298	1556	754
299	1561	749
300	1566	744
301	1571	738
302	1576	733
303	1581	728
304	1586	723
305	1592	717
306	1596	712
307	1602	707
308	1607	702
309	1612	696
310	1617	691
311	1622	686
312	1627	681
313	1632	675
314	1637	670
315	1642	665
316	1648	660
317	1653	655
318	1658	649
319	1663	644
320	1668	639
321	1673	634
322	1678	628
323	1684	623
324	1689	618
325	1694	613
326	1699	608
327	1704	602
328	1709	597
329	1714	592
330	1719	587
331	1724	581
332	1729	576
333	1735	571
334	1740	566
335	1745	561
336	1751	556
337	1756	550
338	1761	545
339	1767	540
340	1772	535
341	1778	530
342	1783	525
343	1788	519
344	1793	514
345	1798	509
346	1803	504
347	1808	498
348	1813	493
349	1818	488
350	1824	483
351	1829	478
352	1834	472
353	1839	467
354	1844	462
355	1850	457
356	1855	452
357	1860	446
358	1865	441
359	1870	436
360	1874	431
361	1879	425
362	1884	420
363	1889	415
364	1894	410
365	1899	404
366	1905	399
367	1910	394
368	1915	389
369	1920	384
370	1925	378
371	1931	373
372	1936	368
373	1941	363
374	1946	358
375	1951	352
376	1956	347
377	1962	342
378	1967	337
379	1972	332
380	1977	327
381	1983	321
382	1988	316
383	1993	311
384	1998	306
385	2003	301
386	2008	295
387	2014	290
388	2019	285
389	2024	280
390	2030	275
391	2035	270
392	2041	264
393	2046	259
394	2052	254
395	2057	249
396	2063	244
397	2068	239
398	2073	233
399	2078	228
400	2084	223
401	2089	218
402	2094	213
403	2099	207
404	2104	202
405	2109	197
406	2114	192
407	2120	187
408	2125	181
409	2130	176
410	2135	171
411	2140	166
412	2145	161
413	2150	155
