Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,has_name,has_description
0,2.0,136,107,0,0,0,0,1,1,1,0,1,0,3,0,2,0,8.0,1,1
0,12.0,136,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,3.0,1,1
0,2.0,136,107,0,0,1,5,1,0,1,1,1,0,1,0,2,0,1.0,1,1
0,2.0,136,107,0,2,0,0,1,1,0,0,1,0,1,0,2,0,2.0,1,1
1,4.0,99,0,2,0,1,0,1,1,1,1,1,0,4,0,2,0,2.0,1,1
0,12.0,136,0,1,0,1,2,1,0,0,0,0,0,1,0,2,0,3.0,1,1
0,24.0,136,0,0,4,6,0,1,0,2,2,2,0,1,0,7,0,4.0,1,1
1,40.0,87,0,1,0,0,0,1,1,2,0,1,0,1,0,3,0,3.0,0,1
1,4.0,100,0,1,0,0,0,1,0,2,2,1,0,1,100,12,0,1.0,1,1
0,8.0,136,107,0,4,6,0,1,1,2,2,2,0,1,0,2,0,3.0,1,1
1,2.0,91,0,2,0,3,5,1,1,1,1,1,0,2,0,2,0,5.0,1,1
0,1.0,136,107,1,1,0,0,1,1,1,0,1,0,1,150,2,1,14.0,1,1
0,1.0,136,0,2,1,0,0,1,0,1,0,1,0,2,0,2,0,1.0,1,1
0,2.0,136,51,1,0,6,0,1,1,1,1,1,0,1,0,2,0,7.0,1,1
0,2.0,136,107,1,0,1,3,0,0,1,1,1,0,2,0,3,0,4.0,0,1
1,2.0,99,0,2,0,5,0,0,1,1,1,1,0,2,0,2,0,5.0,1,1
0,1.0,136,0,0,0,1,0,1,0,2,2,2,0,3,0,2,0,1.0,0,1
0,36.0,136,0,0,1,2,0,2,0,2,2,1,0,1,0,12,0,2.0,1,1
0,12.0,136,0,0,4,0,0,1,1,2,2,1,1,1,0,2,0,8.0,1,1
0,3.0,137,107,0,0,0,0,1,0,2,2,1,0,1,0,2,0,2.0,1,1
1,1.0,135,0,0,0,6,0,1,1,1,1,1,0,1,50,2,0,3.0,1,1
1,3.0,100,97,2,6,0,0,1,0,0,0,1,0,2,0,12,0,4.0,1,1
0,8.0,136,0,1,0,0,0,1,0,0,0,0,0,1,0,5,0,8.0,1,1
1,12.0,100,78,0,2,6,0,1,0,1,1,0,0,2,0,12,0,0.0,0,1
0,6.0,136,0,1,0,6,0,1,1,0,0,1,0,1,0,2,0,5.0,1,1
1,12.0,117,78,1,6,0,0,1,0,0,0,0,0,1,0,12,0,4.0,1,1
1,2.0,100,0,1,0,5,5,0,0,1,0,1,0,1,0,1,0,2.0,1,1
1,12.0,99,0,1,6,0,0,1,1,2,2,2,0,1,0,0,0,1.0,1,1
