Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,has_name,has_description,desc_len,rescuer_listings,health_score,age_x_MaturitySize,Age_level,Has_photo,Has_video,photo_video_score,Is_free,Is_mixed_breed,Is_group,health_complete,health_unknown,Is_baby,Is_senior,AdoptionSpeed
0,2.0,136,107,0,0,0,0,1,1,1,0,1,0,3,0,2,0,8.0,1,1,80,1,2,0.008333333333333333,1,1,0,8.0,1,1,1,0,0,1,0,2
0,12.0,136,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,3.0,1,1,12,33,4,0.025,1,1,0,3.0,1,0,0,1,0,0,0,3
0,2.0,136,107,0,0,1,5,1,0,1,1,1,0,1,0,2,0,1.0,1,1,5,31,1,0.008333333333333333,1,1,0,1.0,1,1,0,0,0,1,0,4
0,2.0,136,107,0,2,0,0,1,1,0,0,1,0,1,0,2,0,2.0,1,1,2,180,3,0.008333333333333333,1,1,0,2.0,1,1,0,0,0,1,0,1
1,4.0,99,0,2,0,1,0,1,1,1,1,1,0,4,0,2,0,2.0,1,1,3,1,1,0.016666666666666666,1,1,0,2.0,1,0,1,0,0,0,0,2
0,12.0,136,0,1,0,1,2,1,0,0,0,0,0,1,0,2,0,3.0,1,1,42,36,4,0.05,1,1,0,3.0,1,0,0,1,0,0,0,2
0,24.0,136,0,0,4,6,0,1,0,2,2,2,0,1,0,7,0,4.0,1,1,65,1,1,0.1,2,1,0,4.0,1,0,0,0,3,0,0,3
1,40.0,87,0,1,0,0,0,1,1,2,0,1,0,1,0,3,0,3.0,0,1,95,1,2,0.16666666666666669,2,1,0,3.0,1,0,0,0,1,0,0,4
1,4.0,100,0,1,0,0,0,1,0,2,2,1,0,1,100,12,0,1.0,1,1,22,9,1,0.016666666666666666,1,1,0,1.0,0,0,0,0,2,0,0,3
0,8.0,136,107,0,4,6,0,1,1,2,2,2,0,1,0,2,0,3.0,1,1,32,1,1,0.03333333333333333,1,1,0,3.0,1,1,0,0,3,0,0,4
